alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.875,,5,gini,0.0,0.594485306751161,0.022892886050163524,0.5355488330285942,0.016243820982047966,0.9067332950000491,0.017604484599814896
0.875,,5,gini,1e-06,0.5944983055981151,0.022812281341826345,0.5355314732962692,0.01617942632211249,0.9066105425999922,0.018480010600069364
0.875,,2,entropy,1e-05,0.5570996685463344,0.020099444609903955,0.535150351225379,0.015901803953742976,1.5100950054001259,0.019368994000069507
0.625,,2,entropy,1e-05,0.558318722180337,0.01713258967240216,0.5351369287091259,0.013488045380823412,1.6474892264000118,0.017652455399957034
0.875,,2,entropy,0.0,0.5567764886168997,0.020237455416303906,0.5347054874541033,0.0160070074251603,1.5901885368000876,0.02171898919996238
0.875,,2,entropy,1e-06,0.5566480744345228,0.020248846478598762,0.534603406118225,0.016040144777840486,1.5890033875998597,0.023018039200087513
0.625,,2,entropy,1e-06,0.5576011358411364,0.017121728009429675,0.5343307789487595,0.013472397090700618,1.739595233600039,0.023022970999954852
0.625,,2,entropy,0.0,0.557532730920904,0.017119818659054823,0.5342840442909642,0.013485328038353596,1.7050162618000286,0.019258572000035203
0.625,,5,entropy,1e-05,0.5858707807951566,0.016974348386596675,0.5335603538900315,0.015817615237040523,1.4844390006000139,0.01806438400008119
0.625,,5,entropy,1e-06,0.5856915151126236,0.017128412642717562,0.5333365512175551,0.01585956598407304,1.555262658600077,0.018113235999953757
0.625,,5,entropy,0.0,0.5856760499608388,0.017111570317192293,0.5333253067946948,0.015840495075571177,1.5485473094001463,0.018137836000096285
0.875,10.0,2,entropy,1e-05,0.6405592945493113,0.02966179361665854,0.5316003617611298,0.01397555696369669,1.1151711912000792,0.018322742199961793
0.875,10.0,2,entropy,0.0,0.6405348147451497,0.02967785107550992,0.531584736316804,0.01398355624448716,1.1319516862000456,0.01649176320006518
0.875,10.0,2,entropy,1e-06,0.6405348147451497,0.02967785107550992,0.531584736316804,0.01398355624448716,1.0678813042000912,0.0160480008000377
0.875,10.0,5,entropy,1e-05,0.6505320957409471,0.027650899683187218,0.5306699139371421,0.011763503632192912,1.1092283680000037,0.017392470599952504
